onset	duration	amount	Probability	choseAccept	RT	choseRight
18.374	4	72	0.33	1	1.583	0
24.407	4	63	0.57	1	1.465	0
40.44	4	76	0.26	0	0.961	1
47.473	4	75	0.24	0	1.503	1
59.507	4	83	0.54	1	1.182	0
73.539	4	55	0.44	1	1.727	0
81.572	4	65	0.55	1	2.106	0
88.606	4	70	0.61	1	1.786	0
96.639	4	21	0.96	0	2.04	1
109.672	4	71	0.36	0	1.264	1
119.721	4	79	0.33	0	1.499	1
139.771	4	35	0.78	0	2.045	1
149.804	4	81	0.1	0	1.517	1
158.854	4	45	0.37	0	1.362	1
171.887	4	52	0.47	1	1.396	0
186.919	4	82	0.25	0	1.187	1
197.952	4	40	0.79	1	1.827	0
206.986	4	56	0.68	n/a	n/a	n/a
215.035	4	53	0.54	1	1.447	0
221.069	4	66	0.25	0	1.178	1
233.102	4	72	0.34	n/a	n/a	n/a
240.151	4	82	0.23	0	1.529	1
247.184	4	82	0.48	1	1.335	0
257.234	4	41	0.63	1	1.78	0
265.267	4	33	0.8	0	1.543	1
274.3	4	42	0.6	1	1.737	0
282.333	4	72	0.5	1	1.326	0
287.383	4	46	0.77	1	1.751	0
298.433	4	22	0.98	0	1.264	1
309.483	4	64	0.33	0	2.61	1
