onset	duration	amount	Delay	choseAccept	RT	choseRight
17.973	4	34	43	1	0.902	0
23.04	4	27	142	0	1.308	1
33.073	4	45	72	1	0.774	0
42.106	4	43	19	1	0.685	0
49.156	4	52	139	1	0.607	0
67.189	4	54	22	1	1.12	0
78.222	4	70	108	1	0.972	0
88.255	4	82	74	1	1.34	0
103.287	4	73	44	1	1.785	0
112.337	4	29	75	0	1.875	1
125.37	4	45	157	1	0.796	0
135.42	4	63	37	1	0.985	0
152.469	4	80	145	1	0.96	0
157.519	4	61	141	1	1.531	0
171.552	4	25	108	0	1.221	1
179.585	4	74	121	1	0.788	0
185.618	4	41	27	1	0.918	0
194.668	4	55	163	1	0.825	0
203.701	4	60	124	1	0.638	0
211.751	4	29	44	0	1.404	1
219.784	4	81	58	1	0.801	0
228.833	4	28	132	0	1.436	1
237.883	4	24	125	0	1.206	1
244.916	4	39	161	1	0.966	0
250.966	4	74	52	1	0.907	0
262.999	4	77	142	1	0.802	0
273.049	4	43	120	1	0.823	0
285.098	4	42	145	1	0.683	0
298.148	4	75	41	1	1.04	0
308.181	4	65	159	1	0.7	0
