onset	duration	amount	Delay	choseAccept	RT	choseRight
15.922	4	41	55	0	1.95	0
24.972	4	49	140	0	1.128	0
33.022	4	31	74	0	1.446	0
43.071	4	50	41	1	0.716	1
57.121	4	34	176	0	0.993	0
65.154	4	74	52	1	1.433	1
75.203	4	45	107	0	0.886	0
81.253	4	66	71	1	0.926	1
87.286	4	33	103	0	0.811	0
101.319	4	69	172	1	0.779	1
110.368	4	33	163	0	0.885	0
122.418	4	54	126	1	1.022	1
132.467	4	32	111	0	1.021	0
140.5	4	54	23	1	0.996	1
147.533	4	65	137	1	0.949	1
154.583	4	76	161	1	1.174	1
163.616	4	80	145	1	1.159	1
170.649	4	77	24	1	0.632	1
182.715	4	39	161	0	0.859	0
193.748	4	78	108	1	0.842	1
205.797	4	56	93	1	0.839	1
210.847	4	55	163	1	0.594	1
219.88	4	31	76	0	3.424	0
232.913	4	77	161	1	0.859	1
247.946	4	32	74	0	1.782	0
266.995	4	32	57	0	0.944	0
276.028	4	25	176	0	0.75	0
287.077	4	36	140	0	0.641	0
298.11	4	24	38	0	0.603	0
309.16	4	27	130	0	0.641	0
