onset	duration	amount	Delay	choseAccept	RT	choseRight
15.49	4	43	19	1	1.576	0
24.523	4	24	89	0	1.671	1
32.556	4	41	27	1	0.904	0
42.589	4	56	93	1	1.518	0
56.655	4	75	41	1	0.835	0
64.705	4	78	129	1	0.756	0
74.737	4	39	161	0	1.447	1
80.787	4	62	180	1	0.678	0
86.82	4	25	70	1	1.346	0
100.853	4	39	104	0	1.309	1
109.903	4	78	108	1	1.314	0
121.936	4	24	125	0	1.19	1
131.969	4	25	141	0	1.851	1
140.019	4	27	91	0	1.39	1
147.052	4	43	38	1	1.841	0
154.085	4	52	139	1	1.236	0
163.134	4	71	176	1	0.874	0
170.168	4	44	143	0	1.262	1
182.217	4	35	171	0	0.958	1
193.25	4	25	74	0	0.928	1
205.316	4	67	41	1	1.187	0
210.383	4	40	159	0	1.036	1
219.432	4	65	159	1	0.821	0
232.465	4	77	161	1	1.094	0
247.498	4	71	76	1	2.163	0
266.531	4	66	145	1	0.797	0
275.564	4	71	88	1	0.788	0
286.597	4	34	176	0	0.899	1
297.646	4	45	72	1	2.027	0
308.679	4	24	87	0	0.955	1
