onset	duration	amount	Probability	choseAccept	RT	choseRight
14.532	4	31	0.79	1	2.1	1
19.582	4	39	0.3	0	1.522	0
34.615	4	49	0.44	1	1.328	1
50.648	4	58	0.42	1	1.735	1
60.697	4	53	0.48	1	1.126	1
69.731	4	73	0.74	1	1.404	1
77.764	4	75	0.24	0	1.347	0
85.813	4	49	0.43	1	0.953	1
98.847	4	58	0.83	1	0.983	1
115.896	4	29	0.83	1	1.83	1
125.929	4	40	0.39	1	2.165	1
133.962	4	30	0.7	0	3.076	0
141.995	4	24	0.96	1	1.643	1
154.028	4	56	0.49	1	2.401	1
163.078	4	47	0.72	1	1.463	1
172.111	4	22	0.98	0	1.99	0
181.144	4	75	0.48	1	1.349	1
191.177	4	40	0.66	1	0.924	1
201.21	4	79	0.45	1	0.923	1
212.243	4	21	0.93	0	1.145	0
222.276	4	76	0.26	0	2.12	0
229.309	4	52	0.47	1	0.887	1
239.342	4	52	0.41	1	1.07	1
244.392	4	33	0.8	1	1.62	1
249.442	4	35	0.73	1	1.474	1
264.475	4	78	0.42	1	1.28	1
272.508	4	42	0.6	1	1.831	1
282.541	4	77	0.43	1	1.502	1
298.591	4	40	0.71	1	1.284	1
308.64	4	64	0.33	0	2.339	0
