onset	duration	amount	Delay	choseAccept	RT	choseRight
18.951	4	55	107	0	2.141	0
24	4	34	176	0	1.455	0
34.05	4	63	37	1	1.396	1
43.083	4	58	36	1	1.236	1
50.133	4	65	159	0	1.835	0
68.182	4	71	88	0	1.681	0
79.232	4	39	95	1	1.382	1
89.298	4	81	58	0	1.364	0
104.348	4	66	58	1	1.34	1
113.381	4	75	60	1	1.169	1
126.43	4	55	163	n/a	n/a	n/a
136.497	4	56	93	1	1.344	1
153.53	4	45	107	0	1.625	0
158.579	4	43	38	1	1.874	1
172.612	4	33	103	1	2.488	1
180.645	4	58	72	1	1.74	1
186.679	4	83	105	n/a	n/a	n/a
195.728	4	50	129	0	1.705	0
204.778	4	23	42	0	1.121	0
212.811	4	62	180	0	1.403	0
220.861	4	85	129	1	1.703	1
229.911	4	32	74	n/a	n/a	n/a
238.96	4	24	89	0	1.375	0
245.993	4	74	52	1	1.488	1
252.027	4	58	55	1	1.272	1
264.059	4	77	142	1	1.374	1
274.092	4	33	78	0	1.304	0
286.142	4	80	145	0	1.331	0
299.208	4	58	53	n/a	n/a	n/a
309.275	4	45	72	1	1.217	1
