onset	duration	amount	Delay	choseAccept	RT	choseRight
12.062	4	43	38	1	2.04	1
20.085	4	45	107	1	0.6	1
35.129	4	57	89	1	0.703	1
41.152	4	27	130	1	1.1	1
51.174	4	85	129	1	0.485	1
60.22	4	39	95	1	0.518	1
70.266	4	54	23	1	0.479	1
75.301	4	32	74	1	0.489	1
80.335	4	56	93	1	0.583	1
85.37	4	29	58	1	1.528	1
100.415	4	44	92	1	0.597	1
107.438	4	77	161	1	0.45	1
117.483	4	78	108	1	0.411	1
124.518	4	24	139	1	0.386	1
132.54	4	30	23	1	0.247	1
138.586	4	45	72	1	0.459	1
148.632	4	67	74	1	0.432	1
160.666	4	33	163	1	0.565	1
168.7	4	39	161	1	0.372	1
190.733	4	65	156	1	0.383	1
198.755	4	28	132	1	0.376	1
208.801	4	50	129	1	0.335	1
215.835	4	66	71	1	0.367	1
232.88	4	61	141	1	0.313	1
242.902	4	41	27	1	0.422	1
255.948	4	29	44	1	0.383	1
266.982	4	77	142	1	0.578	1
278.015	4	34	43	1	0.485	1
291.061	4	54	22	1	0.25	1
306.106	4	81	58	1	0.464	1
