onset	duration	amount	Probability	choseAccept	RT	choseRight
15.141	4	21	0.93	0	1.942	1
20.191	4	64	0.33	0	1.424	1
35.224	4	23	0.83	0	1.351	1
51.273	4	21	0.96	0	1.211	1
61.306	4	33	0.91	0	1.211	1
70.339	4	29	0.83	0	1.842	1
78.373	4	24	0.91	0	1.205	1
86.406	4	77	0.38	0	1.378	1
99.455	4	53	0.48	0	1.537	1
116.505	4	79	0.45	1	1.994	0
126.538	4	82	0.48	1	1.14	0
134.571	4	49	0.56	1	1.697	0
142.604	4	73	0.74	1	1.306	0
154.637	4	42	0.6	1	1.489	0
163.67	4	72	0.5	1	1.234	0
172.72	4	41	0.63	1	1.587	0
181.753	4	28	0.89	0	1.799	1
191.802	4	43	0.69	0	2.273	1
201.835	4	57	0.3	0	2.292	1
212.868	4	62	0.18	0	0.771	1
222.901	4	83	0.3	0	0.832	1
229.951	4	63	0.57	1	1.617	0
240.001	4	50	0.48	1	2.485	0
245.067	4	31	0.61	0	1.501	1
250.134	4	46	0.77	1	1.518	0
265.2	4	76	0.43	0	1.749	1
273.25	4	45	0.37	0	0.838	1
283.283	4	81	0.1	0	0.871	1
299.332	4	32	0.57	0	2.132	1
309.382	4	46	0.21	0	0.756	1
