onset	duration	amount	Delay	choseAccept	RT	choseRight
16.366	4	66	58	1	1.368	0
23.415	4	45	157	0	1.166	1
34.465	4	24	87	0	1.091	1
42.497	4	52	139	0	1.523	1
51.53	4	80	39	1	1.368	0
58.58	4	54	22	1	1.279	0
70.629	4	25	176	0	1.169	1
78.679	4	48	128	0	1.267	1
97.745	4	49	172	0	1.891	1
102.794	4	39	95	1	1.288	0
111.827	4	55	163	0	1.075	1
122.86	4	41	174	0	0.984	1
133.926	4	50	59	1	1.22	0
142.976	4	23	77	0	0.976	1
150.008	4	58	73	1	1.83	0
159.041	4	75	41	0	1.265	1
166.091	4	45	72	1	2.095	0
179.124	4	54	126	0	1.508	1
196.173	4	36	140	0	0.96	1
204.206	4	22	21	0	1.73	1
210.255	4	72	95	0	1.742	1
233.304	4	77	24	1	1.791	0
241.354	4	78	129	0	1.266	1
249.42	4	24	89	0	1.234	1
258.469	4	63	37	1	1.306	0
276.519	4	22	27	0	1.906	1
281.568	4	73	44	1	1.519	0
289.618	4	45	107	1	1.355	0
298.651	4	40	159	0	1.069	1
309.717	4	81	58	1	1.835	0
