onset	duration	amount	Delay	choseAccept	RT	choseRight
12.03	4	29	44	1	1.935	0
20.08	4	65	156	1	1.129	0
35.129	4	27	130	0	1.855	1
41.162	4	57	89	1	1.327	0
51.195	4	33	78	0	1.542	1
60.245	4	55	107	1	2.091	0
70.277	4	34	43	0	1.868	1
75.344	4	28	59	0	1.493	1
80.393	4	50	41	1	1.82	0
85.46	4	64	89	0	1.054	1
100.493	4	67	23	1	1.344	0
107.525	4	65	159	0	0.994	1
117.558	4	30	36	1	1.767	0
124.608	4	25	108	0	1.043	1
132.641	4	23	110	0	1.233	1
138.69	4	39	104	1	1.012	0
148.74	4	39	161	0	1.078	1
160.789	4	24	125	0	1.455	1
168.822	4	41	129	0	1.494	1
190.871	4	25	70	0	1.468	1
198.921	4	79	92	1	1.378	0
208.953	4	85	129	0	1.749	1
216.02	4	66	71	1	1.46	0
233.069	4	29	75	0	0.967	1
243.135	4	45	26	1	1.391	0
256.168	4	65	137	0	1.153	1
267.234	4	58	55	1	1.266	0
278.283	4	29	58	0	1.134	1
291.349	4	25	74	0	1.004	1
306.382	4	41	27	1	1.353	0
