onset	duration	amount	Probability	choseAccept	RT	choseRight
16.038	4	50	0.39	n/a	n/a	n/a
21.104	4	78	0.42	n/a	n/a	n/a
31.154	4	41	0.63	n/a	n/a	n/a
40.203	4	76	0.43	n/a	n/a	n/a
47.27	4	68	0.64	n/a	n/a	n/a
65.336	4	50	0.57	n/a	n/a	n/a
76.385	4	56	0.44	n/a	n/a	n/a
86.452	4	22	0.89	n/a	n/a	n/a
101.501	4	71	0.36	n/a	n/a	n/a
110.551	4	49	0.71	0	1.004	0
123.584	4	31	0.61	n/a	n/a	n/a
133.633	4	71	0.19	n/a	n/a	n/a
150.699	4	82	0.25	n/a	n/a	n/a
155.766	4	61	0.67	n/a	n/a	n/a
169.815	4	21	0.96	n/a	n/a	n/a
177.882	4	62	0.3	n/a	n/a	n/a
183.932	4	57	0.58	n/a	n/a	n/a
192.981	4	58	0.42	n/a	n/a	n/a
202.031	4	63	0.27	n/a	n/a	n/a
210.081	4	82	0.29	n/a	n/a	n/a
218.13	4	75	0.48	n/a	n/a	n/a
227.18	4	29	0.83	1	0.976	1
236.213	4	58	0.45	1	1.099	1
243.263	4	43	0.69	n/a	n/a	n/a
249.313	4	70	0.34	n/a	n/a	n/a
261.379	4	23	0.96	n/a	n/a	n/a
271.428	4	40	0.79	n/a	n/a	n/a
283.495	4	42	0.6	0	3.202	0
296.528	4	52	0.41	0	0.932	0
306.577	4	30	0.7	0	1.021	0
