onset	duration	amount	Probability	choseAccept	RT	choseRight
19.361	4	65	0.55	1	2.159	1
29.394	4	83	0.3	0	1.592	0
38.427	4	40	0.71	1	1.673	1
49.46	4	22	0.98	0	1.425	0
63.493	4	77	0.43	1	1.303	1
78.526	4	49	0.51	1	1.551	1
84.576	4	82	0.47	1	1.441	1
101.609	4	60	0.51	1	1.582	1
109.658	4	50	0.48	1	1.672	1
120.691	4	28	0.89	0	1.732	0
125.758	4	47	0.72	1	1.121	1
130.808	4	49	0.56	1	1.147	1
143.841	4	39	0.49	0	1.923	0
160.89	4	76	0.44	1	1.024	1
168.923	4	28	0.63	0	1.398	0
176.973	4	24	0.96	0	1.717	0
190.023	4	58	0.83	1	1.336	1
200.056	4	70	0.39	0	1.914	0
206.105	4	53	0.48	1	1.365	1
217.155	4	77	0.38	0	2.361	0
225.205	4	82	0.48	1	1.308	1
234.238	4	56	0.68	1	1.669	1
240.272	4	46	0.33	0	1.569	0
250.304	4	62	0.18	0	2.088	0
259.354	4	35	0.7	1	1.957	1
266.387	4	40	0.39	0	2.334	0
277.436	4	56	0.49	1	1.734	1
287.486	4	39	0.3	0	1.374	0
297.519	4	49	0.43	1	1.33	1
308.552	4	36	0.59	1	1.832	1
