onset	duration	amount	Probability	choseAccept	RT	choseRight
19.905	4	33	0.62	0	2.319	1
29.939	4	83	0.3	1	1.323	0
38.971	4	77	0.39	1	1.32	0
50.004	4	40	0.39	0	1.484	1
64.053	4	76	0.44	1	2.48	0
79.086	4	71	0.36	1	1.65	0
85.136	4	78	0.26	1	2.194	0
102.186	4	52	0.47	0	2.983	1
110.235	4	24	0.91	1	1.092	0
121.268	4	73	0.74	1	1.094	0
126.318	4	36	0.59	0	1.124	1
131.368	4	75	0.48	1	1.147	0
144.418	4	25	0.89	1	1.679	0
161.45	4	50	0.48	0	1.849	1
169.5	4	85	0.59	1	1.299	0
177.55	4	62	0.18	0	1.566	1
190.599	4	72	0.33	1	1.318	0
200.633	4	62	0.3	0	1.456	1
206.666	4	66	0.25	0	1.384	1
217.715	4	49	0.44	0	1.164	1
225.765	4	77	0.43	1	1.947	0
234.815	4	33	0.8	1	2.261	0
240.848	4	75	0.24	0	2.143	1
250.881	4	72	0.4	1	1.363	0
259.914	4	44	0.44	0	1.151	1
266.964	4	25	0.91	1	1.692	0
277.997	4	78	0.42	1	1.134	0
288.046	4	70	0.39	0	2.712	1
298.096	4	49	0.71	1	1.334	0
309.162	4	79	0.49	1	1.284	0
