onset	duration	amount	Probability	choseAccept	RT	choseRight
14.02	4	57	0.51	0	3.294	1
22.053	4	49	0.43	0	2.043	1
37.086	4	23	0.83	0	1.672	1
43.119	4	78	0.26	0	1.794	1
53.152	4	84	0.25	0	2.203	1
62.186	4	70	0.61	1	1.754	0
72.219	4	56	0.44	1	2.271	0
77.268	4	21	0.97	0	1.617	1
82.335	4	72	0.4	0	2.357	1
87.385	4	79	0.33	0	2.092	1
102.418	4	62	0.18	0	1.136	1
109.452	4	83	0.54	1	1.763	0
119.484	4	65	0.55	1	1.551	0
126.534	4	58	0.83	1	1.83	0
134.567	4	71	0.19	0	0.847	1
140.617	4	76	0.43	1	1.619	0
150.667	4	40	0.39	0	1.444	1
162.7	4	24	0.91	0	1.977	1
170.733	4	61	0.67	1	1.558	0
192.766	4	56	0.68	1	1.518	0
200.815	4	22	0.96	0	0.977	1
210.849	4	28	0.89	0	1.282	1
217.898	4	57	0.3	0	1.297	1
234.948	4	46	0.48	0	1.862	1
244.981	4	46	0.21	0	0.942	1
258.014	4	49	0.56	0	2.579	1
269.047	4	33	0.8	0	2.14	1
280.08	4	21	0.93	0	1.007	1
293.113	4	82	0.23	0	1.242	1
308.146	4	21	0.96	0	1.205	1
