onset	duration	amount	Delay	choseAccept	RT	choseRight
17.503	4	77	142	0	1.306	0
27.536	4	27	142	0	1.145	0
36.586	4	78	108	0	1.323	0
47.619	4	55	163	0	0.896	0
61.668	4	33	163	0	0.789	0
76.718	4	85	129	0	1.258	0
82.751	4	23	176	0	0.666	0
99.817	4	36	114	0	0.671	0
107.85	4	28	163	0	1.059	0
118.883	4	71	88	1	1.292	1
123.933	4	23	110	0	0.869	0
128.999	4	81	58	1	1.557	1
142.049	4	29	75	0	2.096	0
159.098	4	74	121	0	0.813	0
167.148	4	83	105	1	1.732	1
175.198	4	45	157	0	1.363	0
188.248	4	65	156	0	0.915	0
198.297	4	43	19	1	1.364	1
204.33	4	41	129	0	0.981	0
215.38	4	23	42	0	1.817	0
223.43	4	50	129	0	0.854	0
232.463	4	66	71	1	1.399	1
238.513	4	25	74	0	1.369	0
248.579	4	27	130	0	0.765	0
257.629	4	57	89	0	2.126	0
264.662	4	80	39	1	0.93	1
275.695	4	24	89	0	1.807	0
285.728	4	67	103	0	0.65	0
295.778	4	24	87	0	1.374	0
306.827	4	41	27	1	1.101	1
