onset	duration	amount	Probability	choseAccept	RT	choseRight
15.564	4	58	0.46	0	1.453	1
24.597	4	21	0.97	0	3.195	1
32.664	4	30	0.7	0	3.094	1
42.697	4	33	0.62	0	2.121	1
56.73	4	54	0.52	0	2.365	1
64.78	4	77	0.38	0	0.964	1
74.829	4	76	0.43	0	0.949	1
80.879	4	63	0.57	1	1.94	0
86.913	4	77	0.43	0	1.029	1
100.962	4	32	0.57	0	2.029	1
110.012	4	75	0.24	0	1.111	1
122.045	4	85	0.59	1	2.092	0
132.078	4	50	0.57	0	2.049	1
140.128	4	56	0.44	0	1.005	1
147.161	4	62	0.18	0	1.549	1
154.211	4	58	0.83	1	2.331	0
163.244	4	57	0.3	0	0.854	1
170.277	4	35	0.78	0	1.099	1
182.344	4	53	0.48	0	1.022	1
193.393	4	41	0.63	0	2.915	1
205.443	4	40	0.79	1	3.131	0
210.493	4	47	0.72	n/a	n/a	n/a
219.543	4	29	0.83	0	2.037	1
232.576	4	25	0.89	0	1.905	1
247.609	4	23	0.96	0	1.835	1
266.643	4	66	0.25	0	1.109	1
275.675	4	40	0.39	0	3.24	1
286.708	4	49	0.56	0	2.03	1
297.774	4	42	0.6	1	2.187	0
308.807	4	82	0.29	0	1.234	1
