onset	duration	amount	Delay	choseAccept	RT	choseRight
12.032	4	43	38	0	1.936	0
20.082	4	45	107	0	1.158	0
35.115	4	57	89	0	1.164	0
41.164	4	27	130	0	0.963	0
51.214	4	85	129	0	0.897	0
60.264	4	39	95	0	0.966	0
70.313	4	54	23	1	0.941	1
75.363	4	32	74	0	0.843	0
80.413	4	56	93	0	0.849	0
85.48	4	29	58	0	0.91	0
100.512	4	44	92	0	0.87	0
107.562	4	77	161	0	0.803	0
117.612	4	78	108	0	1.985	0
124.661	4	24	139	0	0.872	0
132.694	4	30	23	1	1.023	1
138.728	4	45	72	0	1.237	0
148.777	4	67	74	0	1.387	0
160.827	4	33	163	0	0.921	0
168.876	4	39	161	0	0.856	0
190.926	4	65	156	0	0.877	0
198.959	4	28	132	0	0.844	0
208.992	4	50	129	0	1.187	0
216.041	4	66	71	0	1.106	0
233.091	4	61	141	0	0.863	0
243.14	4	41	27	1	0.958	1
256.173	4	29	44	0	0.981	0
267.223	4	77	142	0	0.906	0
278.256	4	34	43	0	1.105	0
291.289	4	54	22	1	1.008	1
306.321	4	81	58	1	0.951	1
