onset	duration	amount	Probability	choseAccept	RT	choseRight
20.136	4	65	0.55	1	1.093	1
30.169	4	83	0.3	1	2.152	1
39.202	4	40	0.71	1	1.74	1
50.252	4	22	0.98	1	2.389	1
64.285	4	77	0.43	0	1.532	0
79.334	4	49	0.51	1	1.21	1
85.367	4	82	0.47	1	0.855	1
102.4	4	60	0.51	1	0.704	1
110.433	4	50	0.48	1	0.967	1
121.482	4	28	0.89	1	1.422	1
126.532	4	47	0.72	1	2.368	1
131.599	4	49	0.56	1	1.944	1
144.632	4	39	0.49	1	1.62	1
161.681	4	76	0.44	1	1.329	1
169.714	4	28	0.63	0	1.782	0
177.764	4	24	0.96	0	1.056	0
190.797	4	58	0.83	1	1.418	1
200.863	4	70	0.39	1	2.083	1
206.929	4	53	0.48	1	1.672	1
217.962	4	77	0.38	1	1.373	1
225.995	4	82	0.48	1	1.5	1
235.045	4	56	0.68	1	1.654	1
241.078	4	46	0.33	1	2.083	1
251.128	4	62	0.18	0	1.135	0
260.162	4	35	0.7	0	2.344	0
267.211	4	40	0.39	1	2.226	1
278.244	4	56	0.49	1	1.989	1
288.277	4	39	0.3	1	2.042	1
298.31	4	49	0.43	1	1.575	1
309.342	4	36	0.59	1	1.757	1
