onset	duration	amount	Delay	choseAccept	RT	choseRight
15.043	4	45	26	1	1.559	1
21.076	4	27	142	0	1.144	0
37.125	4	32	74	0	2.219	0
44.175	4	65	156	0	2.603	0
56.224	4	58	73	1	2.652	1
70.274	4	31	74	0	2.57	0
78.323	4	33	103	0	1.677	0
85.356	4	55	163	0	2.173	0
93.389	4	74	52	1	1.707	1
106.439	4	67	74	1	1.418	1
116.488	4	77	24	1	1.773	1
136.521	4	27	130	0	2.889	0
146.554	4	49	140	0	2.438	0
155.587	4	57	89	1	1.967	1
168.636	4	60	124	0	2.474	0
183.669	4	28	123	0	1.291	0
194.702	4	82	74	1	1.229	1
203.735	4	23	77	0	1.637	0
211.785	4	25	176	0	1.392	0
217.818	4	50	59	1	1.385	1
229.867	4	81	58	1	0.892	1
236.9	4	55	107	1	2.205	1
243.933	4	58	55	1	0.92	1
253.983	4	23	176	0	0.967	0
262.032	4	67	103	1	1.89	1
271.065	4	30	23	1	2.968	1
279.115	4	22	27	0	1.791	0
284.165	4	29	75	0	1.144	0
295.198	4	41	129	0	3.128	0
306.231	4	66	71	1	2.031	1
