onset	duration	amount	Delay	choseAccept	RT	choseRight
14.48	4	58	72	1	1.705	1
23.53	4	60	124	1	3.286	1
31.596	4	58	36	1	1.187	1
41.63	4	71	88	1	2.003	1
55.696	4	67	23	1	1.579	1
63.745	4	72	95	1	1.558	1
73.795	4	56	93	1	1.496	1
79.828	4	24	125	0	1.506	0
85.861	4	28	163	0	1.17	0
99.911	4	39	95	0	3.297	0
108.961	4	73	44	1	2.11	1
120.994	4	41	174	0	3.054	0
131.027	4	63	37	1	2.052	1
139.076	4	25	176	0	1.921	0
146.109	4	66	145	1	2.02	1
153.143	4	65	159	1	1.144	1
162.176	4	41	27	0	1.854	0
169.209	4	35	171	0	1.246	0
181.258	4	44	92	0	2.789	0
192.291	4	31	76	0	1.696	0
204.358	4	32	111	0	1.194	0
209.407	4	41	129	1	1.345	1
218.441	4	23	110	0	3.404	0
231.49	4	30	36	1	2.051	1
246.54	4	29	44	0	1.526	0
265.589	4	75	41	1	1.6	1
274.639	4	74	52	1	1.186	1
285.688	4	28	132	0	1.15	0
296.755	4	76	161	1	1.572	1
307.804	4	33	163	1	2.445	1
