onset	duration	amount	Delay	choseAccept	RT	choseRight
13.038	4	78	108	n/a	n/a	n/a
20.087	4	81	58	n/a	n/a	n/a
31.137	4	29	58	n/a	n/a	n/a
39.187	4	44	92	n/a	n/a	n/a
48.236	4	27	91	n/a	n/a	n/a
55.303	4	28	132	n/a	n/a	n/a
67.352	4	43	19	1	3.305	1
75.386	4	27	142	0	1.389	0
94.418	4	39	161	n/a	n/a	n/a
99.485	4	43	38	0	2.701	0
108.534	4	67	103	1	1.866	1
119.584	4	39	95	0	2.424	0
130.617	4	55	163	n/a	n/a	n/a
139.667	4	30	36	n/a	n/a	n/a
146.717	4	45	107	n/a	n/a	n/a
155.766	4	27	130	n/a	n/a	n/a
162.816	4	23	176	n/a	n/a	n/a
175.866	4	40	159	n/a	n/a	n/a
192.932	4	33	78	n/a	n/a	n/a
200.982	4	23	42	0	1.742	0
207.015	4	25	141	n/a	n/a	n/a
230.081	4	39	104	0	1.941	0
238.114	4	70	108	n/a	n/a	n/a
246.163	4	28	163	0	1.33	0
255.213	4	28	123	0	1.303	0
273.263	4	23	134	n/a	n/a	n/a
278.329	4	25	74	0	2.844	0
286.379	4	60	124	n/a	n/a	n/a
295.428	4	67	41	n/a	n/a	n/a
306.495	4	73	44	n/a	n/a	n/a
