onset	duration	amount	Probability	choseAccept	RT	choseRight
15.9	4	33	0.62	1	1.508	1
24.933	4	70	0.34	0	1.14	0
32.966	4	68	0.64	1	0.911	1
42.999	4	56	0.49	1	1.176	1
57.048	4	33	0.91	1	0.969	1
65.082	4	49	0.56	1	0.841	1
75.114	4	83	0.52	1	0.744	1
81.148	4	54	0.52	1	0.751	1
87.197	4	35	0.7	1	0.766	1
101.247	4	23	0.96	1	0.836	1
110.28	4	85	0.59	1	1.022	1
122.313	4	31	0.61	1	0.864	1
132.346	4	57	0.58	1	0.905	1
140.379	4	64	0.34	0	1.028	0
147.429	4	84	0.25	1	1.575	1
154.462	4	35	0.73	1	1.053	1
163.495	4	36	0.59	1	0.911	1
170.528	4	21	0.93	1	0.769	1
182.561	4	50	0.39	0	1.073	0
193.594	4	57	0.3	0	0.966	0
205.644	4	21	0.97	1	1.89	1
210.693	4	50	0.48	1	1.605	1
219.726	4	83	0.28	1	1.81	1
232.776	4	25	0.91	1	1.288	1
247.826	4	78	0.26	1	1.2	1
266.892	4	30	0.7	1	1.536	1
275.925	4	83	0.3	1	1.577	1
286.974	4	73	0.74	1	1.026	1
298.007	4	47	0.72	1	1.205	1
309.057	4	24	0.91	1	0.967	1
