onset	duration	amount	Delay	choseAccept	RT	choseRight
18.928	4	39	95	1	1.495	0
23.977	4	77	24	1	1.298	0
34.027	4	28	163	0	0.924	1
43.06	4	27	130	0	0.805	1
50.093	4	30	23	0	1.099	1
68.143	4	28	59	0	1.293	1
79.175	4	83	105	1	1.335	0
89.225	4	77	142	0	1.268	1
104.275	4	44	92	0	1.559	1
113.308	4	52	139	0	0.991	1
126.341	4	45	26	1	1.833	0
136.39	4	25	74	0	1.475	1
153.423	4	28	123	0	1.263	1
158.489	4	48	128	0	1.393	1
172.522	4	57	89	1	1.235	0
180.572	4	78	129	0	0.943	1
186.605	4	29	44	0	1.329	1
195.655	4	31	74	1	1.7	0
204.704	4	30	36	1	1.65	0
212.754	4	49	172	0	1.341	1
220.787	4	76	161	0	1.447	1
229.837	4	43	19	1	0.896	0
238.887	4	22	27	0	1.006	1
245.92	4	24	139	0	1.406	1
251.953	4	65	159	1	3.177	0
264.002	4	54	23	1	1.346	0
274.035	4	41	129	0	1.37	1
286.085	4	67	103	n/a	n/a	n/a
299.134	4	80	39	1	1.68	0
309.167	4	72	95	1	1.267	0
