onset	duration	amount	Probability	choseAccept	RT	choseRight
16.366	4	49	0.44	1	1.426	1
23.398	4	56	0.68	1	0.879	1
34.431	4	68	0.64	1	0.843	1
42.464	4	31	0.79	1	0.705	1
51.497	4	49	0.71	1	1.032	1
58.547	4	74	0.39	0	0.949	0
70.612	4	58	0.46	1	1.434	1
78.662	4	61	0.5	1	1.168	1
97.728	4	77	0.39	0	0.871	0
102.777	4	82	0.47	1	1.279	1
111.81	4	22	0.98	0	1.737	0
122.86	4	64	0.34	0	1.034	0
133.909	4	82	0.31	0	0.938	0
142.958	4	76	0.26	0	0.653	0
149.991	4	72	0.33	0	0.654	0
159.041	4	83	0.54	1	0.982	1
166.091	4	46	0.33	0	0.602	0
179.14	4	47	0.72	1	0.791	1
196.172	4	65	0.55	1	0.813	1
204.205	4	35	0.73	1	0.709	1
210.238	4	33	0.8	1	1.177	1
233.287	4	25	0.91	1	1.668	1
241.353	4	40	0.79	1	0.733	1
249.419	4	71	0.36	0	0.98	0
258.485	4	49	0.51	1	1.709	1
276.534	4	24	0.96	1	1.299	1
281.601	4	72	0.4	1	2.235	1
289.634	4	46	0.48	1	1.662	1
298.666	4	33	0.62	1	0.725	1
309.699	4	39	0.3	0	0.769	0
