onset	duration	amount	Probability	choseAccept	RT	choseRight
17.586	4	56	0.44	1	1.113	1
23.619	4	54	0.52	1	0.784	1
39.668	4	63	0.27	0	0.912	0
46.718	4	58	0.83	1	0.713	1
58.767	4	50	0.39	0	0.771	0
72.816	4	42	0.58	1	0.865	1
80.866	4	57	0.58	1	0.912	1
87.899	4	66	0.25	0	0.682	0
95.948	4	49	0.43	1	2.061	1
108.981	4	40	0.66	1	0.845	1
119.013	4	78	0.26	0	0.7	0
139.079	4	30	0.7	1	0.875	1
149.112	4	35	0.78	1	1.154	1
158.145	4	35	0.7	1	1.063	1
171.194	4	25	0.89	1	0.695	1
186.226	4	62	0.3	0	0.911	0
197.276	4	61	0.67	1	0.935	1
206.325	4	52	0.41	0	2.288	0
214.358	4	52	0.47	1	1.142	1
220.391	4	79	0.49	1	1.513	1
232.424	4	70	0.61	1	0.976	1
239.457	4	58	0.42	0	1.781	0
246.506	4	50	0.57	1	1.116	1
256.556	4	57	0.51	1	1.219	1
264.605	4	76	0.44	1	1.175	1
273.638	4	83	0.32	0	0.678	0
281.688	4	22	0.96	1	0.706	1
286.737	4	39	0.49	1	1.504	1
297.787	4	83	0.28	0	0.695	0
308.836	4	58	0.45	1	1.295	1
