onset	duration	amount	Probability	choseAccept	RT	choseRight
15.042	4	65	0.55	0	1.955	1
25.075	4	82	0.09	0	1.355	1
35.108	4	57	0.3	0	0.827	1
46.141	4	22	0.98	1	1.646	0
54.174	4	23	0.96	1	1.409	0
64.207	4	55	0.44	0	0.91	1
73.24	4	52	0.47	0	0.72	1
80.273	4	50	0.57	0	0.663	1
89.322	4	83	0.28	0	0.915	1
96.372	4	79	0.33	0	1.104	1
107.405	4	62	0.18	0	0.616	1
117.454	4	31	0.79	0	1.238	1
129.487	4	49	0.51	0	0.818	1
140.537	4	81	0.1	0	1.039	1
150.57	4	39	0.3	0	0.741	1
158.602	4	46	0.21	0	0.509	1
170.635	4	33	0.62	0	1.048	1
191.701	4	63	0.27	0	0.643	1
205.734	4	84	0.25	0	0.761	1
213.767	4	24	0.96	1	1.069	0
220.816	4	72	0.5	0	0.724	1
231.849	4	77	0.43	0	0.751	1
240.899	4	23	0.83	1	1.333	0
251.948	4	22	0.96	1	1.441	0
259.981	4	21	0.96	1	1.071	0
272.014	4	82	0.47	0	1.262	1
281.047	4	30	0.7	0	1.878	1
286.097	4	53	0.48	0	0.912	1
292.147	4	85	0.59	0	0.952	1
306.196	4	58	0.46	0	0.728	1
