onset	duration	amount	Probability	choseAccept	RT	choseRight
17.818	4	76	0.44	0	0.988	1
27.851	4	77	0.43	0	1.736	1
37.901	4	32	0.57	0	1.602	1
48.935	4	24	0.96	1	1.323	0
56.967	4	72	0.4	0	1.304	1
67	4	71	0.19	0	1.501	1
76.05	4	58	0.42	0	1.144	1
83.083	4	40	0.39	0	0.898	1
92.132	4	44	0.44	0	0.896	1
99.182	4	78	0.42	0	0.685	1
110.232	4	61	0.5	0	1.636	1
120.265	4	40	0.71	1	1.004	0
132.298	4	70	0.39	0	0.782	1
143.348	4	43	0.69	0	2.764	1
153.397	4	62	0.18	0	1.104	1
161.447	4	23	0.83	1	1.487	0
173.497	4	62	0.3	0	0.817	1
194.563	4	46	0.21	0	0.851	1
208.612	4	83	0.32	0	0.75	1
216.662	4	79	0.45	0	1.264	1
223.712	4	49	0.71	1	1.202	0
234.746	4	52	0.41	0	1.106	1
243.778	4	39	0.49	0	1.208	1
254.811	4	22	0.96	1	0.894	0
262.844	4	41	0.6	0	0.79	1
274.877	4	63	0.27	0	0.985	1
283.91	4	79	0.49	0	0.776	1
288.96	4	56	0.44	0	1.122	1
294.993	4	74	0.39	0	0.906	1
309.026	4	75	0.48	0	0.677	1
