onset	duration	amount	Delay	choseAccept	RT	choseRight
13.727	4	56	93	1	2.106	0
18.777	4	40	159	0	1.652	1
33.826	4	75	60	1	1.454	0
49.876	4	25	70	0	1.743	1
59.926	4	49	140	0	1.594	1
68.959	4	58	73	1	2.342	0
76.992	4	41	129	0	3.508	1
85.025	4	58	55	1	1.429	0
98.058	4	67	41	1	0.94	0
115.091	4	54	126	0	2.153	1
125.14	4	50	41	1	1.393	0
133.173	4	58	72	1	1.325	0
141.206	4	29	58	0	3.11	1
153.256	4	58	36	1	1.625	0
162.289	4	50	129	0	1.4	1
171.339	4	39	104	0	1.653	1
180.389	4	44	143	0	1.572	1
190.422	4	33	103	0	1.245	1
200.471	4	71	176	0	2.74	1
211.504	4	58	53	1	2.102	0
221.554	4	28	163	0	2.316	1
228.604	4	28	123	0	1.468	1
238.67	4	72	95	1	1.835	0
243.736	4	24	139	0	1.309	1
248.786	4	71	76	1	1.158	0
263.836	4	49	172	0	1.754	1
271.869	4	31	74	0	1.841	1
281.919	4	23	110	0	2.125	1
297.968	4	56	172	0	1.785	1
308.034	4	65	156	0	2.192	1
