onset	duration	amount	Probability	choseAccept	RT	choseRight
13.853	4	71	0.36	0	1.327	1
21.902	4	50	0.39	0	0.966	1
36.952	4	63	0.57	1	1.76	0
42.985	4	49	0.43	0	1.649	1
53.035	4	47	0.72	1	1.303	0
62.068	4	57	0.3	0	1.777	1
72.101	4	49	0.71	0	2.487	1
77.151	4	50	0.57	1	2.794	0
82.2	4	35	0.73	1	2.503	0
87.25	4	83	0.32	0	2.524	1
102.283	4	52	0.47	1	2.536	0
109.316	4	29	0.83	0	2.266	1
119.366	4	72	0.33	0	1.36	1
126.399	4	75	0.48	1	2.084	0
134.449	4	76	0.26	0	1.142	1
140.482	4	57	0.58	1	1.962	0
150.515	4	46	0.77	1	2.072	0
162.548	4	22	0.98	0	2.058	1
170.581	4	54	0.52	1	3.544	0
192.63	4	33	0.8	1	2.138	0
200.663	4	82	0.31	0	1.927	1
210.696	4	55	0.44	1	2.578	0
217.729	4	28	0.89	0	3.618	1
234.779	4	82	0.09	0	1.615	1
244.829	4	71	0.19	0	1.542	1
257.862	4	83	0.54	1	1.058	0
268.895	4	68	0.64	1	1.271	0
279.928	4	41	0.63	1	1.72	0
292.96	4	42	0.6	1	0.921	0
307.993	4	77	0.43	1	1.792	0
