onset	duration	amount	Probability	choseAccept	RT	choseRight
14.905	4	49	0.44	0	1.034	0
21.939	4	56	0.68	0	2.117	0
32.985	4	68	0.64	1	2.314	1
41.007	4	31	0.79	1	2.057	1
50.042	4	49	0.71	0	1.842	0
57.088	4	74	0.39	0	2.008	0
69.133	4	58	0.46	0	2.153	0
77.167	4	61	0.5	1	2.112	1
96.2	4	77	0.39	0	2.304	0
101.247	4	82	0.47	0	1.8	0
110.293	4	22	0.98	0	1.816	0
121.326	4	64	0.34	0	1.981	0
132.36	4	82	0.31	0	2.33	0
141.406	4	76	0.26	0	1.267	0
148.441	4	72	0.33	0	2.233	0
157.475	4	83	0.54	1	2.071	1
164.521	4	46	0.33	0	2.552	0
177.566	4	47	0.72	0	2.035	0
194.611	4	65	0.55	1	2.301	1
202.634	4	35	0.73	1	1.799	1
208.668	4	33	0.8	1	2.558	1
231.701	4	25	0.91	1	2.29	1
239.723	4	40	0.79	1	1.559	1
247.746	4	71	0.36	0	2.704	0
256.78	4	49	0.51	0	1.501	0
274.824	4	24	0.96	0	1.597	0
279.871	4	72	0.4	0	1.92	0
287.906	4	46	0.48	0	2.595	0
296.939	4	33	0.62	1	2.257	1
307.961	4	39	0.3	0	1.171	0
