onset	duration	amount	Delay	choseAccept	RT	choseRight
15.107	4	73	44	1	0.806	1
20.157	4	56	172	1	0.605	1
35.19	4	75	60	1	0.857	1
51.239	4	65	137	1	0.514	1
61.272	4	41	129	1	0.992	1
70.305	4	22	27	1	1.6	1
78.354	4	67	23	1	0.683	1
86.404	4	45	107	1	0.645	1
99.437	4	50	59	1	0.729	1
116.486	4	58	55	1	0.723	1
126.535	4	64	89	1	0.567	1
134.585	4	62	180	1	0.692	1
142.618	4	77	24	1	0.583	1
154.667	4	31	76	1	0.476	1
163.7	4	69	172	1	1.009	1
172.733	4	76	161	1	0.785	1
181.799	4	61	141	1	0.726	1
191.832	4	43	19	1	0.784	1
201.882	4	33	103	1	1.008	1
212.915	4	58	73	1	0.636	1
222.964	4	25	70	1	0.939	1
230.014	4	23	61	0	1.663	0
240.08	4	67	74	1	0.66	1
245.13	4	23	134	0	1.296	0
250.196	4	39	95	1	0.798	1
265.245	4	23	77	0	1.345	0
273.278	4	24	89	0	1.456	0
283.311	4	49	140	1	0.711	1
299.344	4	54	22	1	0.744	1
309.377	4	48	128	1	0.808	1
