onset	duration	amount	Delay	choseAccept	RT	choseRight
14.736	4	54	126	0	1.552	0
19.802	4	44	92	0	1.472	0
34.835	4	31	76	0	1.36	0
50.868	4	36	140	0	0.838	0
60.901	4	28	163	0	0.936	0
69.95	4	79	92	1	1.074	1
77.983	4	23	110	0	1.226	0
86.016	4	65	137	1	1.216	1
99.049	4	67	23	1	0.852	1
116.099	4	58	36	1	0.957	1
126.132	4	61	141	1	1.136	1
134.181	4	85	129	1	1.087	1
142.231	4	22	21	1	1.337	1
154.28	4	54	22	1	0.875	1
163.313	4	72	95	1	0.901	1
172.363	4	70	108	1	1.02	1
181.413	4	83	105	1	0.951	1
191.462	4	43	120	1	1.473	1
201.495	4	49	172	0	1.057	0
212.528	4	34	43	1	1.216	1
222.561	4	36	114	0	1.246	0
229.611	4	76	161	0	1.154	0
239.645	4	64	89	1	1.571	1
244.71	4	24	139	0	0.979	0
249.76	4	28	59	1	1.682	1
264.793	4	56	172	1	1.152	1
272.843	4	42	145	0	1.223	0
282.876	4	33	163	0	0.898	0
298.925	4	77	142	1	1.238	1
308.959	4	50	41	1	0.854	1
