onset	duration	amount	Probability	choseAccept	RT	choseRight
17.411	4	79	0.45	1	1.242	0
27.444	4	49	0.44	0	1.542	1
37.477	4	79	0.49	1	0.867	0
48.527	4	77	0.39	0	1.361	1
56.56	4	83	0.32	0	1.073	1
66.593	4	83	0.28	0	0.842	1
75.626	4	24	0.91	1	0.897	0
82.659	4	25	0.89	1	0.885	0
91.708	4	66	0.25	0	1.184	1
98.758	4	81	0.1	0	1.207	1
109.791	4	85	0.59	1	0.997	0
119.824	4	84	0.25	0	0.862	1
131.857	4	22	0.96	1	0.799	0
142.89	4	57	0.51	1	1.528	0
152.923	4	70	0.61	1	1.072	0
160.956	4	55	0.44	1	1.197	0
172.989	4	40	0.66	1	0.928	0
194.038	4	33	0.62	0	1.832	1
208.087	4	61	0.5	1	1.166	0
216.12	4	52	0.47	1	1.669	0
223.154	4	83	0.52	1	1.112	0
234.186	4	79	0.33	0	0.851	1
243.236	4	33	0.91	1	1.001	0
254.286	4	72	0.34	0	1.393	1
262.319	4	45	0.37	0	0.928	1
274.352	4	82	0.23	0	0.928	1
283.385	4	76	0.26	0	1.125	1
288.434	4	58	0.46	0	1.468	1
294.484	4	74	0.39	1	1.164	0
308.517	4	46	0.48	1	1.642	0
