onset	duration	amount	Probability	choseAccept	RT	choseRight
14.735	4	79	0.49	0	1.552	1
21.768	4	23	0.96	0	1.328	1
32.818	4	39	0.3	0	1.242	1
40.851	4	25	0.89	0	1.53	1
49.9	4	40	0.79	0	2.48	1
56.95	4	46	0.48	0	2.482	1
69.016	4	58	0.62	1	1.336	0
77.05	4	62	0.18	0	1.172	1
96.098	4	57	0.58	1	1.32	0
101.148	4	56	0.49	0	1.556	1
110.181	4	40	0.66	0	1.522	1
121.214	4	81	0.1	0	0.876	1
132.247	4	44	0.44	0	2.094	1
141.28	4	79	0.33	0	1.35	1
148.329	4	76	0.26	0	0.971	1
157.362	4	31	0.79	0	1.835	1
164.412	4	49	0.43	0	1.293	1
177.461	4	50	0.48	1	1.839	0
194.511	4	63	0.27	0	1.992	1
202.544	4	41	0.6	1	1.657	0
208.577	4	79	0.45	0	1.25	1
231.642	4	30	0.7	0	1.808	1
239.692	4	22	0.96	0	1.106	1
247.725	4	70	0.61	1	2.55	0
256.775	4	28	0.63	0	1.35	1
274.84	4	21	0.93	0	1.667	1
279.907	4	24	0.91	0	0.981	1
287.957	4	52	0.41	0	1.673	1
296.99	4	75	0.48	1	1.568	0
308.039	4	82	0.47	1	1.445	0
