onset	duration	amount	Delay	choseAccept	RT	choseRight
18.921	4	27	142	0	2.285	0
23.987	4	58	36	0	2.493	0
34.037	4	28	163	0	1.133	0
43.086	4	65	156	0	1.253	0
50.153	4	25	176	0	1.496	0
68.218	4	74	52	1	2.5	1
79.268	4	74	121	0	1.046	0
89.317	4	56	172	0	1.519	0
104.366	4	41	55	1	2.809	1
113.416	4	65	137	0	3.554	0
126.449	4	62	180	0	0.93	0
136.498	4	71	76	0	1.709	0
153.53	4	23	176	0	1.275	0
158.58	4	48	128	0	1.152	0
172.629	4	64	89	0	1.787	0
180.663	4	81	58	1	2.044	1
186.695	4	58	55	0	1.892	0
195.728	4	60	124	0	1.465	0
204.778	4	66	71	0	1.497	0
212.827	4	25	70	0	1.206	0
220.877	4	35	171	0	0.979	0
229.943	4	29	75	0	0.933	0
239.009	4	32	74	0	0.671	0
246.042	4	45	72	0	1.531	0
252.092	4	30	23	0	1.92	0
264.158	4	27	130	0	0.741	0
274.207	4	76	161	0	0.691	0
286.24	4	23	77	0	1.128	0
299.273	4	67	103	0	1.124	0
309.322	4	56	93	0	1.666	0
