onset	duration	amount	Probability	choseAccept	RT	choseRight
14.361	4	57	0.51	1	1.363	0
22.394	4	49	0.43	0	1.701	1
37.444	4	23	0.83	0	1.681	1
43.494	4	78	0.26	0	0.889	1
53.527	4	84	0.25	0	0.869	1
62.577	4	70	0.61	1	1.182	0
72.61	4	56	0.44	0	1.594	1
77.66	4	21	0.97	0	1.807	1
82.709	4	72	0.4	1	2.8	0
87.759	4	79	0.33	0	1.517	1
102.809	4	62	0.18	0	1.136	1
109.859	4	83	0.54	1	2.233	0
119.892	4	65	0.55	1	1.872	0
126.925	4	58	0.83	1	1.856	0
134.958	4	71	0.19	0	2.481	1
141.008	4	76	0.43	0	3.289	1
151.041	4	40	0.39	0	1.63	1
163.091	4	24	0.91	0	1.196	1
171.141	4	61	0.67	1	1.658	0
193.173	4	56	0.68	1	1.422	0
201.207	4	22	0.96	0	1.356	1
211.24	4	28	0.89	0	2.034	1
218.289	4	57	0.3	0	1.493	1
235.322	4	46	0.48	0	1.189	1
245.355	4	46	0.21	0	0.924	1
258.388	4	49	0.56	1	1.22	0
269.422	4	33	0.8	1	2.16	0
280.455	4	21	0.93	0	1.709	1
293.488	4	82	0.23	0	1.244	1
308.521	4	21	0.96	0	1.689	1
