onset	duration	amount	Delay	choseAccept	RT	choseRight
15.727	4	23	176	0	1.879	1
22.777	4	32	111	1	1.422	0
33.81	4	50	129	1	1.036	0
41.86	4	35	171	1	2.992	0
50.893	4	83	105	1	1.554	0
57.927	4	24	87	0	1.102	1
69.976	4	36	114	1	0.901	0
78.043	4	28	123	0	1.236	1
97.092	4	44	92	1	1.193	0
102.142	4	29	75	1	1.695	0
111.175	4	41	55	1	1.156	0
122.225	4	74	52	1	0.928	0
133.258	4	34	43	1	1.238	0
142.291	4	41	27	1	1.357	0
149.341	4	67	41	1	0.776	0
158.374	4	34	176	0	1.655	1
165.407	4	58	36	n/a	n/a	n/a
178.474	4	66	58	1	0.734	0
195.523	4	25	108	1	0.467	0
203.573	4	27	91	1	0.727	0
209.606	4	71	76	1	0.801	0
232.672	4	43	38	1	1.062	0
240.706	4	60	124	1	0.916	0
248.772	4	57	89	1	1.288	0
257.805	4	25	141	0	1.076	1
275.838	4	27	142	0	1.279	1
280.905	4	36	140	1	0.879	0
288.938	4	67	103	1	1.349	0
297.988	4	39	161	1	1.237	0
309.021	4	71	176	1	0.975	0
