onset	duration	amount	Delay	choseAccept	RT	choseRight
16.225	4	58	53	1	1.188	0
23.258	4	34	43	1	0.999	0
34.291	4	49	172	1	1.167	0
42.34	4	30	23	1	0.821	0
51.374	4	39	104	0	1.767	1
58.423	4	49	140	0	0.856	1
70.456	4	67	23	1	1.547	0
78.489	4	77	24	1	1.495	0
97.521	4	74	52	1	0.843	0
102.571	4	39	161	0	0.944	1
111.604	4	50	41	1	0.976	0
122.653	4	23	134	0	1.469	1
133.703	4	56	93	1	0.972	0
142.736	4	58	36	0	0.836	1
149.785	4	32	74	0	1.442	1
158.818	4	31	74	0	0.982	1
165.868	4	82	74	1	0.806	0
178.901	4	44	92	1	0.906	0
195.933	4	41	55	0	1.134	1
203.983	4	25	70	1	0.877	0
210.016	4	40	159	0	1.065	1
233.065	4	32	111	1	0.74	0
241.098	4	24	125	0	0.712	1
249.131	4	61	141	0	0.774	1
258.164	4	25	108	0	0.521	1
276.213	4	75	41	0	1.076	1
281.263	4	62	180	0	0.727	1
289.296	4	22	27	1	0.573	0
298.329	4	70	108	0	0.774	1
309.362	4	36	140	0	0.748	1
