onset	duration	amount	Probability	choseAccept	RT	choseRight
15.517	4	70	0.34	0	1.852	0
22.551	4	72	0.4	0	1.629	0
33.6	4	32	0.57	0	0.993	0
41.633	4	64	0.33	0	0.955	0
50.666	4	33	0.91	1	1.336	1
57.716	4	46	0.48	0	0.809	0
69.749	4	28	0.63	0	2.125	0
77.782	4	82	0.29	0	1.459	0
96.815	4	61	0.5	0	1.344	0
101.865	4	82	0.23	0	0.888	0
110.898	4	40	0.79	1	1.559	1
121.931	4	73	0.74	1	2.658	1
132.964	4	83	0.3	0	0.883	0
142.013	4	35	0.78	1	0.653	1
149.047	4	24	0.96	1	1.615	1
158.08	4	66	0.25	0	1.008	0
165.113	4	58	0.62	0	2.007	0
178.146	4	76	0.43	0	1.334	0
195.195	4	50	0.48	0	0.951	0
203.245	4	45	0.37	0	0.959	0
209.278	4	58	0.46	0	1.411	0
232.311	4	70	0.61	0	1.22	0
240.344	4	85	0.59	0	1.616	0
248.394	4	82	0.47	0	1.11	0
257.427	4	82	0.25	0	0.956	0
275.46	4	83	0.28	0	1.141	0
280.509	4	74	0.39	0	0.737	0
288.543	4	56	0.49	0	1.004	0
297.576	4	46	0.33	0	1.23	0
308.625	4	25	0.91	1	0.809	1
