onset	duration	amount	Delay	choseAccept	RT	choseRight
19.806	4	39	161	0	1.938	0
29.839	4	72	95	1	2.529	1
38.872	4	54	22	1	2.304	1
49.906	4	29	44	0	2.589	0
63.955	4	67	74	1	2.436	1
79.004	4	28	132	0	1.403	0
85.054	4	58	53	1	1.145	1
102.103	4	33	78	1	3.096	1
110.137	4	57	89	0	2.973	0
121.17	4	23	110	0	1.1	0
126.236	4	28	59	0	2.138	0
131.286	4	69	172	0	1.688	0
144.336	4	74	52	1	2.206	1
161.368	4	35	171	0	1.118	0
169.418	4	43	38	1	1.947	1
177.451	4	25	74	0	1.666	0
190.501	4	48	128	0	1.464	0
200.551	4	80	145	0	2.622	0
206.584	4	41	129	0	2.341	0
217.617	4	25	70	0	3.436	0
225.667	4	73	44	1	1.938	1
234.7	4	45	72	0	2.768	0
240.75	4	58	73	1	3.382	1
250.783	4	44	143	0	0.821	0
259.832	4	70	108	0	2.54	0
266.865	4	65	159	0	1.371	0
277.899	4	27	91	0	1.793	0
287.932	4	77	24	1	1.552	1
297.981	4	80	39	1	1.55	1
309.031	4	23	134	0	1.188	0
