onset	duration	amount	Probability	choseAccept	RT	choseRight
14.55	4	68	0.64	1	1.026	0
22.583	4	76	0.43	1	1.284	0
37.649	4	58	0.83	1	1.244	0
43.682	4	72	0.4	0	2.078	1
53.715	4	77	0.39	0	1.239	1
62.748	4	46	0.77	1	1.598	0
72.78	4	22	0.96	0	1.275	1
77.83	4	42	0.6	0	0.877	1
82.88	4	24	0.96	0	0.722	1
87.93	4	56	0.49	0	1.223	1
102.962	4	82	0.25	1	1.172	0
109.995	4	82	0.23	1	0.848	0
120.028	4	58	0.42	0	1.539	1
127.061	4	28	0.89	0	0.875	1
135.094	4	61	0.67	1	0.925	0
141.127	4	29	0.83	0	0.76	1
151.16	4	35	0.7	0	0.601	1
163.209	4	75	0.48	1	0.994	0
171.242	4	49	0.56	0	0.66	1
193.291	4	72	0.5	1	0.909	0
201.324	4	52	0.47	1	0.867	0
211.373	4	85	0.59	1	0.795	0
218.406	4	41	0.6	0	1.35	1
235.455	4	39	0.49	0	0.791	1
245.488	4	21	0.93	0	1.157	1
258.521	4	53	0.54	0	1.266	1
269.57	4	23	0.96	0	0.959	1
280.603	4	77	0.38	1	1.465	0
293.635	4	78	0.42	1	0.793	0
308.668	4	72	0.34	0	1.319	1
