onset	duration	amount	Probability	choseAccept	RT	choseRight
14.572	4	57	0.51	1	1.786	0
22.605	4	49	0.43	1	1.652	0
37.654	4	23	0.83	0	2.064	1
43.704	4	78	0.26	1	1.997	0
53.737	4	84	0.25	1	1.283	0
62.77	4	70	0.61	1	0.978	0
72.803	4	56	0.44	1	2.281	0
77.853	4	21	0.97	1	2.058	0
82.903	4	72	0.4	1	1.891	0
87.953	4	79	0.33	1	1.706	0
102.986	4	62	0.18	0	1.697	1
110.036	4	83	0.54	1	1.475	0
120.069	4	65	0.55	1	1.993	0
127.102	4	58	0.83	1	2.909	0
135.135	4	71	0.19	1	2.325	0
141.168	4	76	0.43	1	1.434	0
151.218	4	40	0.39	1	3.23	0
163.251	4	24	0.91	0	1.657	1
171.284	4	61	0.67	1	1.181	0
193.317	4	56	0.68	1	3.133	0
201.35	4	22	0.96	1	3.638	0
211.383	4	28	0.89	1	2.174	0
218.416	4	57	0.3	0	1.152	1
235.466	4	46	0.48	1	1.922	0
245.499	4	46	0.21	0	1.319	1
258.548	4	49	0.56	1	1.159	0
269.581	4	33	0.8	0	2.823	1
280.614	4	21	0.93	0	1.554	1
293.647	4	82	0.23	1	2.165	0
308.68	4	21	0.96	0	1.557	1
