onset	duration	amount	Probability	choseAccept	RT	choseRight
17.656	4	79	0.45	1	1.39	0
27.688	4	49	0.44	0	1.136	1
37.722	4	79	0.49	1	1.083	0
48.771	4	77	0.39	0	0.872	1
56.804	4	83	0.32	0	1.125	1
66.837	4	83	0.28	0	1.141	1
75.87	4	24	0.91	0	1.184	1
82.919	4	25	0.89	0	1.02	1
91.952	4	66	0.25	0	1.052	1
99.002	4	81	0.1	0	0.653	1
110.035	4	85	0.59	1	0.976	0
120.068	4	84	0.25	0	1.521	1
132.117	4	22	0.96	0	0.873	1
143.15	4	57	0.51	1	1.016	0
153.2	4	70	0.61	1	1.342	0
161.233	4	55	0.44	0	1.728	1
173.282	4	40	0.66	1	1.41	0
194.315	4	33	0.62	0	1.387	1
208.347	4	61	0.5	1	1.233	0
216.397	4	52	0.47	0	1.57	1
223.43	4	83	0.52	1	1.114	0
234.463	4	79	0.33	0	1.33	1
243.512	4	33	0.91	0	1.18	1
254.562	4	72	0.34	0	1.279	1
262.611	4	45	0.37	0	1.473	1
274.644	4	82	0.23	0	0.815	1
283.694	4	76	0.26	0	1.351	1
288.76	4	58	0.46	1	1.554	0
294.793	4	74	0.39	1	1.786	0
308.826	4	46	0.48	0	1.549	1
