onset	duration	amount	Probability	choseAccept	RT	choseRight
13.183	4	77	0.39	0	2.009	1
20.233	4	39	0.3	0	1.271	1
31.266	4	84	0.25	0	1.014	1
39.316	4	65	0.55	0	1.291	1
48.349	4	25	0.89	0	1.794	1
55.382	4	61	0.67	1	1.825	0
67.415	4	44	0.44	0	1.04	1
75.448	4	79	0.45	0	1.071	1
94.497	4	35	0.73	1	2.157	0
99.547	4	41	0.63	0	1.355	1
108.58	4	74	0.39	0	0.93	1
119.63	4	22	0.89	0	1.224	1
130.663	4	50	0.39	0	1.207	1
139.696	4	46	0.21	0	1.077	1
146.729	4	83	0.28	0	0.908	1
155.762	4	71	0.36	0	0.859	1
162.795	4	32	0.57	0	0.962	1
175.828	4	23	0.83	0	1.313	1
192.877	4	82	0.29	0	0.879	1
200.927	4	39	0.49	0	0.885	1
206.977	4	30	0.7	0	1.635	1
230.026	4	82	0.31	0	1.05	1
238.076	4	66	0.25	0	1.319	1
246.126	4	49	0.43	0	1.101	1
255.175	4	72	0.34	0	0.836	1
273.225	4	63	0.57	0	1.506	1
278.275	4	83	0.52	0	1.039	1
286.308	4	56	0.68	0	1.654	1
295.341	4	50	0.48	0	0.909	1
306.374	4	49	0.71	0	1.996	1
