onset	duration	amount	Probability	choseAccept	RT	choseRight
14.511	4	24	0.96	0	1.96	0
22.544	4	70	0.61	0	1.271	0
37.577	4	82	0.48	0	1.47	0
43.61	4	83	0.3	0	0.797	0
53.659	4	46	0.33	0	0.843	0
62.693	4	40	0.79	0	1.369	0
72.726	4	24	0.91	0	1.2	0
77.792	4	75	0.24	0	1.094	0
82.842	4	72	0.33	0	0.9	0
87.908	4	21	0.93	0	1.138	0
102.941	4	72	0.4	0	1.024	0
109.974	4	53	0.48	0	0.807	0
120.007	4	33	0.62	0	1.022	0
127.04	4	35	0.78	0	1.325	0
135.074	4	23	0.96	0	1.131	0
141.123	4	56	0.44	0	1.074	0
151.156	4	85	0.59	0	0.872	0
163.189	4	70	0.39	0	1.375	0
171.222	4	28	0.63	0	1.862	0
193.272	4	40	0.66	0	1.428	0
201.305	4	58	0.46	0	0.738	0
211.338	4	71	0.19	0	0.777	0
218.371	4	35	0.7	0	1.648	0
235.42	4	60	0.51	0	0.919	0
245.454	4	76	0.26	0	1.236	0
258.503	4	22	0.98	0	2.203	0
269.536	4	41	0.6	0	0.914	0
280.585	4	21	0.97	0	1.137	0
293.618	4	50	0.57	0	1.271	0
308.651	4	45	0.37	0	1.382	0
