onset	duration	amount	Delay	choseAccept	RT	choseRight
19.657	4	39	161	0	1.758	0
29.69	4	72	95	1	1.373	1
38.723	4	54	22	1	0.876	1
49.772	4	29	44	1	1.794	1
63.805	4	67	74	1	1.225	1
78.838	4	28	132	0	1.24	0
84.871	4	58	53	1	1.063	1
101.904	4	33	78	0	1.669	0
109.954	4	57	89	1	1.227	1
120.987	4	23	110	0	1.034	0
126.053	4	28	59	0	1.624	0
131.103	4	69	172	1	1.414	1
144.136	4	74	52	1	1.1	1
161.185	4	35	171	0	1.651	0
169.235	4	43	38	1	1.225	1
177.268	4	25	74	0	1.584	0
190.318	4	48	128	1	1.55	1
200.367	4	80	145	1	1.18	1
206.401	4	41	129	1	1.794	1
217.433	4	25	70	0	1.642	0
225.467	4	73	44	1	1.344	1
234.5	4	45	72	1	1.375	1
240.533	4	58	73	1	1.262	1
250.566	4	44	143	0	2.004	0
259.615	4	70	108	1	1.579	1
266.649	4	65	159	1	1.217	1
277.698	4	27	91	0	1.608	0
287.731	4	77	24	1	2.047	1
297.764	4	80	39	1	1.213	1
308.797	4	23	134	0	1.196	0
