onset	duration	amount	Probability	choseAccept	RT	choseRight
18.222	4	83	0.54	1	1.763	0
23.268	4	68	0.64	1	1.23	0
33.302	4	79	0.33	1	2.221	0
42.325	4	33	0.8	1	2.332	0
49.347	4	81	0.1	0	1.315	1
67.392	4	70	0.34	1	2.108	0
78.426	4	58	0.42	1	1.684	0
88.46	4	76	0.44	1	1.28	0
103.493	4	75	0.48	1	1.48	0
112.516	4	25	0.91	0	2.038	1
125.549	4	72	0.5	1	1.716	0
135.595	4	77	0.43	1	1.396	0
152.628	4	62	0.18	0	1.585	1
157.674	4	49	0.44	1	1.441	0
171.708	4	46	0.77	1	1.545	0
179.73	4	63	0.27	0	1.843	1
185.765	4	31	0.79	1	1.955	0
194.799	4	43	0.69	1	2.669	0
203.845	4	83	0.32	1	1.801	0
211.879	4	40	0.39	0	1.397	1
219.913	4	57	0.51	1	1.233	0
228.936	4	79	0.49	1	1.15	0
237.958	4	52	0.41	1	2.029	0
244.981	4	52	0.47	1	1.516	0
251.004	4	40	0.71	1	1.693	0
263.049	4	36	0.59	0	2.154	1
273.095	4	29	0.83	1	2.289	0
285.129	4	62	0.3	0	1.679	1
298.174	4	54	0.52	1	1.135	0
308.208	4	21	0.96	1	1.2	0
