onset	duration	amount	Probability	choseAccept	RT	choseRight
15.641	4	58	0.46	0	1.902	1
24.691	4	21	0.97	0	1.82	1
32.724	4	30	0.7	0	2.059	1
42.757	4	33	0.62	0	1.872	1
56.79	4	54	0.52	0	1.604	1
64.823	4	77	0.38	1	1.74	0
74.856	4	76	0.43	1	1.607	0
80.889	4	63	0.57	1	1.94	0
86.922	4	77	0.43	1	2.03	0
100.955	4	32	0.57	0	1.842	1
109.988	4	75	0.24	0	1.186	1
122.022	4	85	0.59	1	1.29	0
132.054	4	50	0.57	1	1.286	0
140.088	4	56	0.44	0	1.969	1
147.121	4	62	0.18	0	1.004	1
154.154	4	58	0.83	1	1.05	0
163.203	4	57	0.3	0	0.991	1
170.237	4	35	0.78	1	0.855	0
182.269	4	53	0.48	1	2.404	0
193.319	4	41	0.63	0	1.949	1
205.369	4	40	0.79	1	0.992	0
210.419	4	47	0.72	1	1.92	0
219.468	4	29	0.83	0	1.917	1
232.518	4	25	0.89	0	1.587	1
247.551	4	23	0.96	0	1.179	1
266.6	4	66	0.25	0	1.558	1
275.633	4	40	0.39	0	1.96	1
286.666	4	49	0.56	0	2.002	1
297.699	4	42	0.6	0	1.507	1
308.732	4	82	0.29	0	2.144	1
