onset	duration	amount	Delay	choseAccept	RT	choseRight
13.45	4	58	73	1	1.592	0
18.5	4	50	59	1	1.456	0
33.533	4	75	60	1	1.512	0
49.566	4	29	75	0	2.358	1
59.599	4	48	128	1	2.598	0
68.632	4	50	41	0	2.506	1
76.665	4	66	71	1	1.562	0
84.698	4	55	163	1	1.566	0
97.748	4	25	108	0	1.975	1
114.797	4	24	38	1	2.888	0
124.83	4	23	176	0	1.76	1
132.863	4	79	92	1	1.512	0
140.896	4	65	159	1	1.663	0
152.929	4	71	88	1	1.749	0
161.979	4	45	26	1	1.992	0
171.012	4	49	172	1	2.581	0
180.045	4	24	87	0	2.122	1
190.078	4	28	163	0	1.847	1
200.128	4	58	36	1	2.194	0
211.161	4	61	141	1	2.115	0
221.211	4	32	57	1	1.488	0
228.244	4	60	124	1	1.654	0
238.277	4	22	21	0	2.056	1
243.327	4	76	161	1	1.537	0
248.377	4	58	53	1	1.204	0
263.41	4	45	72	1	1.695	0
271.443	4	23	42	0	2.176	1
281.476	4	23	61	0	1.411	1
297.509	4	33	78	1	2.147	0
307.542	4	83	105	1	1.465	0
