onset	duration	amount	Probability	choseAccept	RT	choseRight
18.451	4	64	0.34	1	0.877	1
28.484	4	50	0.39	0	1.254	0
38.517	4	43	0.69	1	1.331	1
49.55	4	44	0.44	0	0.771	0
57.583	4	23	0.83	0	0.854	0
67.616	4	21	0.96	0	0.828	0
76.666	4	49	0.43	0	0.79	0
83.716	4	49	0.71	1	1.1	1
92.766	4	31	0.79	1	1.493	1
99.799	4	56	0.68	1	1.037	1
110.832	4	70	0.34	0	2.031	0
120.881	4	65	0.55	1	1.252	1
132.931	4	83	0.52	1	2.086	1
143.964	4	62	0.3	0	1.087	0
153.997	4	82	0.23	0	0.732	0
162.047	4	81	0.1	0	0.882	0
174.113	4	50	0.48	0	0.75	0
195.179	4	71	0.19	0	0.676	0
209.212	4	52	0.41	0	0.919	0
217.246	4	49	0.44	0	0.702	0
224.279	4	49	0.51	0	1.615	0
235.345	4	76	0.44	1	0.915	1
244.395	4	46	0.48	0	1.616	0
255.445	4	36	0.59	1	2.097	1
263.478	4	39	0.3	0	0.707	0
275.511	4	55	0.44	0	0.732	0
284.56	4	72	0.4	1	1.005	1
289.61	4	53	0.54	1	0.803	1
295.643	4	63	0.27	0	1.036	0
309.676	4	82	0.09	0	1.228	0
