onset	duration	amount	Delay	choseAccept	RT	choseRight
13.057	4	71	176	1	2.213	1
22.089	4	32	111	0	1.267	0
30.139	4	22	21	0	1.347	0
40.189	4	31	76	1	1.184	1
54.238	4	70	108	1	1.047	1
62.271	4	36	140	0	1.373	0
72.304	4	58	36	1	0.993	1
78.354	4	71	76	1	0.774	1
84.387	4	56	93	1	0.79	1
98.419	4	55	107	1	0.902	1
107.469	4	25	176	0	0.988	0
119.519	4	23	110	0	0.773	0
129.551	4	23	176	0	0.735	0
137.601	4	49	140	1	1.242	1
144.634	4	45	72	1	1.455	1
151.667	4	54	126	1	0.728	1
160.7	4	82	74	1	0.884	1
167.75	4	23	134	0	0.745	0
179.799	4	74	52	1	0.767	1
190.849	4	75	41	1	0.826	1
202.898	4	41	174	0	1.264	0
207.965	4	39	104	1	2.126	1
217.014	4	34	176	0	0.855	0
230.064	4	42	145	0	1.071	0
245.113	4	67	41	1	0.94	1
264.162	4	62	180	0	1.225	0
273.195	4	28	132	0	0.74	0
284.245	4	78	108	1	1.079	1
295.294	4	25	70	0	1.23	0
306.36	4	65	156	0	1.611	0
