onset	duration	amount	Delay	choseAccept	RT	choseRight
18.972	4	39	95	0	1.063	1
24.038	4	77	24	0	1.338	1
34.071	4	28	163	0	1.023	1
43.104	4	27	130	0	1.399	1
50.154	4	30	23	1	0.762	0
68.186	4	28	59	1	1.231	0
79.219	4	83	105	1	1.628	0
89.252	4	77	142	1	1.7	0
104.302	4	44	92	1	0.929	0
113.334	4	52	139	0	1.213	1
126.384	4	45	26	1	0.885	0
136.433	4	25	74	0	1.236	1
153.499	4	28	123	0	0.801	1
158.566	4	48	128	0	0.96	1
172.599	4	57	89	1	0.843	0
180.632	4	78	129	1	1.393	0
186.665	4	29	44	1	1.183	0
195.714	4	31	74	1	0.903	0
204.764	4	30	36	1	0.771	0
212.797	4	49	172	0	1.271	1
220.83	4	76	161	0	0.978	1
229.879	4	43	19	1	0.805	0
238.929	4	22	27	1	0.932	0
245.995	4	24	139	0	1.236	1
252.045	4	65	159	0	1.377	1
264.078	4	54	23	1	0.815	0
274.127	4	41	129	0	1.99	1
286.16	4	67	103	1	1.24	0
299.21	4	80	39	1	0.947	0
309.243	4	72	95	1	0.943	0
