onset	duration	amount	Delay	choseAccept	RT	choseRight
15.455	4	71	88	1	1.024	1
20.505	4	49	172	0	1.223	0
35.537	4	22	27	0	0.675	0
51.57	4	83	105	1	1.027	1
61.603	4	45	26	1	0.77	1
70.653	4	32	57	1	0.653	1
78.702	4	64	89	1	0.664	1
86.735	4	34	176	0	0.843	0
99.768	4	23	176	0	0.721	0
116.817	4	81	58	1	0.907	1
126.85	4	34	43	1	0.916	1
134.883	4	40	159	1	1.218	1
142.933	4	32	74	0	0.681	0
154.983	4	55	163	1	0.747	1
164.016	4	25	141	0	0.72	0
173.065	4	63	37	1	0.776	1
182.098	4	50	41	1	0.645	1
192.131	4	23	61	0	0.813	0
202.181	4	50	129	1	0.734	1
213.23	4	33	103	1	1.165	1
223.263	4	36	114	1	1.002	1
230.313	4	30	36	1	1.014	1
240.346	4	50	59	1	0.646	1
245.396	4	32	111	0	1.625	0
250.445	4	65	137	1	1.162	1
265.478	4	65	156	1	0.671	1
273.512	4	41	27	1	1.012	1
283.544	4	29	75	0	0.839	0
299.593	4	76	161	1	0.715	1
309.626	4	23	42	0	0.735	0
