onset	duration	amount	Probability	choseAccept	RT	choseRight
17.929	4	40	0.39	0	1.861	1
27.962	4	66	0.25	0	1.437	1
37.995	4	76	0.44	0	1.201	1
49.045	4	24	0.96	1	1.644	0
57.078	4	72	0.33	0	1.426	1
67.111	4	56	0.44	0	1.464	1
76.161	4	31	0.61	0	1.721	1
83.194	4	33	0.62	0	0.99	1
92.227	4	22	0.89	0	2.138	1
99.26	4	23	0.83	0	1.183	1
110.31	4	73	0.74	1	1.765	0
120.343	4	28	0.89	0	1.318	1
132.393	4	54	0.52	0	1.098	1
143.442	4	33	0.91	1	2.043	0
153.475	4	40	0.71	0	1.922	1
161.508	4	55	0.44	0	1.59	1
173.541	4	82	0.31	0	1.292	1
194.574	4	41	0.63	0	1.343	1
208.607	4	70	0.39	0	1.705	1
216.64	4	49	0.44	0	1.597	1
223.69	4	82	0.48	0	0.899	1
234.74	4	49	0.56	0	1.939	1
243.773	4	82	0.23	0	1.268	1
254.822	4	83	0.32	0	0.925	1
262.856	4	46	0.21	0	1.704	1
274.889	4	50	0.57	0	2.364	1
283.938	4	70	0.34	0	1.263	1
288.988	4	64	0.34	0	1.17	1
295.021	4	46	0.33	0	0.627	1
309.054	4	33	0.8	0	0.825	1
