onset	duration	amount	Probability	choseAccept	RT	choseRight
15.037	4	52	0.47	0	1.903	1
22.07	4	82	0.29	1	2.011	0
33.103	4	49	0.51	0	1.515	1
41.153	4	79	0.45	0	2.507	1
50.186	4	73	0.74	1	1.613	0
57.219	4	43	0.69	1	1.962	0
69.252	4	39	0.3	0	1.184	1
77.301	4	70	0.34	0	2.109	1
96.351	4	28	0.63	0	2.646	1
101.417	4	79	0.33	0	2.526	1
110.45	4	72	0.34	0	2.107	1
121.483	4	55	0.44	0	1.829	1
132.533	4	83	0.3	1	2.047	0
141.566	4	33	0.91	0	2.605	1
148.599	4	46	0.21	0	2.321	1
157.632	4	58	0.62	1	2.446	0
164.665	4	58	0.45	0	2.04	1
177.698	4	57	0.3	0	1.239	1
194.73	4	40	0.79	0	2.711	1
202.764	4	35	0.73	1	2.996	0
208.797	4	30	0.7	0	1.853	1
231.846	4	82	0.31	0	2.742	1
239.879	4	28	0.89	1	3.002	0
247.929	4	82	0.23	0	2.1	1
256.978	4	53	0.54	1	2.121	0
275.011	4	46	0.48	0	1.685	1
280.077	4	84	0.25	1	2.591	0
288.11	4	78	0.26	0	1.769	1
297.144	4	82	0.47	1	2.815	0
308.176	4	81	0.1	0	2.559	1
