onset	duration	amount	Delay	choseAccept	RT	choseRight
15.025	4	45	26	1	1.505	1
21.058	4	27	142	0	1.332	0
37.108	4	32	74	1	2.035	1
44.158	4	65	156	1	2.078	1
56.191	4	58	73	1	1.671	1
70.24	4	31	74	0	1.655	0
78.274	4	33	103	0	0.9	0
85.323	4	55	163	0	1.501	0
93.373	4	74	52	1	0.831	1
106.406	4	67	74	1	0.857	1
116.439	4	77	24	1	0.828	1
136.472	4	27	130	0	0.898	0
146.522	4	49	140	0	1.269	0
155.572	4	57	89	0	1.648	0
168.621	4	60	124	0	0.923	0
183.654	4	28	123	0	0.958	0
194.687	4	82	74	1	0.816	1
203.72	4	23	77	0	0.828	0
211.754	4	25	176	0	0.727	0
217.787	4	50	59	1	1.277	1
229.82	4	81	58	1	0.732	1
236.853	4	55	107	1	1.064	1
243.886	4	58	55	1	0.737	1
253.936	4	23	176	0	0.693	0
261.969	4	67	103	1	1.016	1
271.002	4	30	23	1	0.604	1
279.036	4	22	27	1	0.725	1
284.085	4	29	75	0	1.427	0
295.118	4	41	129	0	0.714	0
306.168	4	66	71	1	1.119	1
