onset	duration	amount	Probability	choseAccept	RT	choseRight
13.048	4	36	0.59	1	0.214	0
22.081	4	77	0.38	0	1.019	1
30.115	4	82	0.23	0	0.803	1
40.148	4	35	0.73	0	1.247	1
54.197	4	49	0.43	0	1.103	1
62.23	4	62	0.3	0	0.725	1
72.263	4	72	0.33	0	1.263	1
78.313	4	35	0.7	1	1.893	0
84.346	4	56	0.44	0	0.839	1
98.396	4	42	0.6	1	1.376	0
107.429	4	78	0.42	0	1.958	1
119.462	4	41	0.6	1	1.228	0
129.511	4	28	0.63	0	2.327	1
137.544	4	44	0.44	0	1.474	1
144.578	4	25	0.89	1	0.826	0
151.627	4	58	0.83	1	0.262	0
160.66	4	42	0.58	0	0.005	1
167.694	4	61	0.67	1	0.136	0
179.727	4	31	0.61	1	0.316	0
190.776	4	79	0.45	1	0.083	0
202.826	4	72	0.5	1	0.17	0
207.876	4	43	0.69	1	0.033	0
216.925	4	82	0.09	0	0.202	1
229.975	4	49	0.71	1	1.518	0
245.041	4	28	0.89	0	0.084	1
264.107	4	81	0.1	0	1.227	1
273.14	4	74	0.39	0	1.452	1
284.173	4	39	0.49	1	1.621	0
295.206	4	83	0.52	0	1.184	1
306.256	4	22	0.98	0	1.278	1
