onset	duration	amount	Probability	choseAccept	RT	choseRight
14.794	4	22	0.89	1	0.923	1
19.844	4	42	0.6	1	0.864	1
34.877	4	63	0.27	1	1.281	1
50.926	4	50	0.39	0	0.936	0
60.959	4	71	0.36	0	0.931	0
70.009	4	53	0.54	0	0.879	0
78.075	4	39	0.49	1	0.876	1
86.108	4	31	0.79	1	0.724	1
99.141	4	30	0.7	0	1.001	0
116.191	4	72	0.5	0	0.936	0
126.224	4	23	0.96	0	1.181	0
134.273	4	62	0.3	1	1.244	1
142.306	4	52	0.47	1	0.925	1
154.339	4	76	0.26	1	1.001	1
163.389	4	58	0.62	1	0.941	1
172.439	4	42	0.58	1	1.115	1
181.505	4	64	0.34	1	1.015	1
191.538	4	72	0.33	1	0.853	1
201.571	4	81	0.1	0	1.032	0
212.62	4	79	0.49	1	0.846	1
222.653	4	22	0.98	1	0.908	1
229.687	4	57	0.58	1	1.08	1
239.72	4	40	0.66	1	0.852	1
244.77	4	44	0.44	1	1.032	1
249.836	4	52	0.41	1	1.176	1
264.885	4	68	0.64	1	0.834	1
272.935	4	24	0.96	0	1.098	0
282.985	4	50	0.57	1	1.219	1
299.034	4	43	0.69	1	0.839	1
309.084	4	75	0.24	1	1.107	1
