onset	duration	amount	Delay	choseAccept	RT	choseRight
20.453	4	77	142	1	0.96	1
30.486	4	27	142	0	1.126	0
39.519	4	78	108	1	1.808	1
50.552	4	55	163	0	1.239	0
64.602	4	33	163	0	1.019	0
79.651	4	85	129	1	0.805	1
85.701	4	23	176	0	0.793	0
102.734	4	36	114	0	1.396	0
110.784	4	28	163	0	1.128	0
121.833	4	71	88	1	0.981	1
126.883	4	23	110	0	0.702	0
131.95	4	81	58	1	0.801	1
144.999	4	29	75	0	0.807	0
162.032	4	74	121	1	0.879	1
170.065	4	83	105	1	0.995	1
178.098	4	45	157	0	1.408	0
191.148	4	65	156	1	1.197	1
201.198	4	43	19	1	0.86	1
207.231	4	41	129	0	1.019	0
218.297	4	23	42	0	0.997	0
226.347	4	50	129	1	1.214	1
235.38	4	66	71	1	0.888	1
241.43	4	25	74	0	0.904	0
251.48	4	27	130	0	0.836	0
260.529	4	57	89	0	1.393	0
267.562	4	80	39	1	0.92	1
278.612	4	24	89	0	0.972	0
288.646	4	67	103	1	1.54	1
298.678	4	24	87	0	0.839	0
309.712	4	41	27	0	0.993	0
