onset	duration	amount	Probability	choseAccept	RT	choseRight
17.532	4	52	0.47	1	2.145	0
23.565	4	63	0.57	1	1.215	0
39.598	4	70	0.39	1	1.734	0
46.647	4	43	0.69	1	1.825	0
58.68	4	78	0.42	1	1.503	0
72.713	4	25	0.91	1	3.041	0
80.746	4	55	0.44	1	2.126	0
87.779	4	46	0.48	1	2.047	0
95.812	4	49	0.71	1	1.659	0
108.845	4	33	0.91	1	1.759	0
118.877	4	49	0.51	1	1.662	0
138.927	4	40	0.66	1	1.369	0
148.96	4	46	0.33	0	1.468	1
158.009	4	56	0.49	1	1.557	0
171.042	4	82	0.47	1	1.957	0
186.074	4	70	0.61	1	1.546	0
197.107	4	85	0.59	1	1.473	0
206.14	4	53	0.54	1	1.8	0
214.19	4	22	0.98	0	2.615	1
220.24	4	39	0.49	1	3.15	0
232.306	4	49	0.43	1	1.655	0
239.339	4	63	0.27	0	1.434	1
246.388	4	22	0.96	1	2.823	0
256.421	4	73	0.74	1	1.452	0
264.471	4	62	0.3	0	2.181	1
273.537	4	49	0.44	1	1.262	0
281.587	4	58	0.42	1	1.869	0
286.637	4	23	0.83	0	2.743	1
297.67	4	82	0.48	1	1.978	0
308.702	4	29	0.83	1	1.964	0
