onset	duration	amount	Probability	choseAccept	RT	choseRight
14.822	4	35	0.78	1	1.744	0
22.872	4	72	0.4	1	1.987	0
37.905	4	58	0.62	1	1.37	0
43.938	4	73	0.74	1	1.292	0
53.971	4	82	0.31	1	1.815	0
63.021	4	31	0.79	1	1.745	0
73.054	4	44	0.44	0	2.131	1
78.12	4	83	0.54	1	1.276	0
83.17	4	75	0.24	0	2.392	1
88.22	4	63	0.57	1	1.003	0
103.253	4	21	0.97	1	1.699	0
110.303	4	53	0.54	1	1.132	0
120.352	4	54	0.52	1	0.886	0
127.386	4	23	0.83	0	1.977	1
135.419	4	21	0.93	1	1.246	0
141.452	4	42	0.58	1	1.478	0
151.485	4	82	0.09	0	1.62	1
163.518	4	25	0.91	1	1.92	0
171.551	4	46	0.21	0	2.085	1
193.617	4	72	0.33	0	2.303	1
201.65	4	33	0.8	1	1.608	0
211.683	4	41	0.6	1	1.271	0
218.716	4	46	0.77	1	1.147	0
235.749	4	35	0.73	1	1.716	0
245.799	4	64	0.33	0	1.314	1
258.849	4	64	0.34	0	1.769	1
269.898	4	72	0.5	1	1.141	0
280.931	4	57	0.3	0	1.632	1
293.981	4	32	0.57	0	1.726	1
309.014	4	78	0.26	0	2.106	1
