onset	duration	amount	Probability	choseAccept	RT	choseRight
15.262	4	79	0.49	0	1.036	1
22.295	4	23	0.96	0	0.503	1
33.328	4	39	0.3	0	0.542	1
41.361	4	25	0.89	0	0.8	1
50.41	4	40	0.79	0	0.981	1
57.46	4	46	0.48	0	0.492	1
69.493	4	58	0.62	0	1.197	1
77.543	4	62	0.18	0	1.539	1
96.575	4	57	0.58	0	0.957	1
101.625	4	56	0.49	0	0.592	1
110.658	4	40	0.66	0	0.751	1
121.707	4	81	0.1	0	0.717	1
132.757	4	44	0.44	0	1.309	1
141.79	4	79	0.33	0	0.744	1
148.823	4	76	0.26	0	1.4	1
157.873	4	31	0.79	0	1.097	1
164.922	4	49	0.43	0	1.625	1
177.955	4	50	0.48	0	0.964	1
195.004	4	63	0.27	0	1.292	1
203.037	4	41	0.6	0	0.605	1
209.07	4	79	0.45	0	0.943	1
232.103	4	30	0.7	0	0.695	1
240.136	4	22	0.96	0	0.417	1
248.186	4	70	0.61	0	0.495	1
257.219	4	28	0.63	0	0.466	1
275.268	4	21	0.93	0	0.823	1
280.318	4	24	0.91	0	1.589	1
288.351	4	52	0.41	0	0.724	1
297.384	4	75	0.48	0	0.899	1
308.433	4	82	0.47	0	1.398	1
