onset	duration	amount	Delay	choseAccept	RT	choseRight
14.632	4	43	19	1	1.569	1
22.682	4	69	172	1	1.085	1
37.731	4	45	107	1	1.165	1
43.764	4	63	37	1	1.241	1
53.797	4	57	89	1	1.091	1
62.83	4	58	72	1	1.45	1
72.88	4	24	139	0	1.925	0
77.929	4	55	107	1	1.053	1
82.996	4	44	92	1	1.573	1
88.046	4	81	58	1	1.654	1
103.095	4	77	161	1	1.257	1
110.128	4	25	70	1	1.764	1
120.161	4	41	129	0	1.513	0
127.211	4	24	125	0	1.54	0
135.244	4	66	58	1	1.637	1
141.293	4	74	52	1	1.189	1
151.326	4	82	74	1	1.09	1
163.359	4	36	114	1	2.07	1
171.409	4	29	58	0	1.31	0
193.441	4	77	24	1	1.376	1
201.474	4	28	132	0	1.44	0
211.507	4	27	142	0	1.002	0
218.557	4	49	140	1	1.106	1
235.59	4	29	44	0	1.297	0
245.639	4	32	74	1	1.178	1
258.672	4	34	43	1	1.426	1
269.705	4	67	74	1	1.411	1
280.738	4	25	141	0	1.333	0
293.787	4	33	163	0	1.14	0
308.82	4	54	22	1	1.223	1
