onset	duration	amount	Delay	choseAccept	RT	choseRight
16.036	4	58	55	0	1.823	1
21.086	4	52	139	0	1.149	1
31.136	4	66	145	0	1.393	1
40.169	4	54	23	1	1.435	0
47.218	4	77	142	1	1.711	0
65.268	4	28	59	0	1.66	1
76.301	4	78	129	1	0.994	0
86.334	4	30	23	1	1.929	0
101.366	4	65	156	1	1.168	0
110.416	4	23	134	0	1.704	1
123.465	4	44	143	1	2.337	0
133.515	4	32	111	0	1.268	1
150.564	4	40	159	0	1.537	1
155.615	4	39	95	1	1.339	0
169.647	4	67	103	1	1.695	0
177.68	4	27	91	0	1.523	1
183.713	4	45	157	1	1.978	0
192.746	4	50	129	1	1.54	0
201.779	4	73	44	1	1.438	0
209.812	4	25	176	0	1.714	1
217.861	4	72	95	1	1.498	0
226.894	4	65	137	0	2.801	1
235.944	4	23	77	0	1.396	1
242.977	4	33	103	1	0.793	0
249.01	4	35	171	0	1.406	1
261.043	4	56	172	1	1.286	0
271.093	4	41	27	1	1.26	0
283.125	4	62	180	1	1.51	0
296.158	4	41	55	0	1.206	1
306.191	4	71	176	1	1.95	0
